feature,mean_abs_shap
poor_appetite_or_overeating,0.7929506849126231
thoughts_that_you_would_be_better_off_dead_or_thoughts_of_hurting_yourself_in_some_way,0.7456247569009087
trouble_falling_or_staying_asleep_or_sleeping_too_much,0.610681308588902
moving_or_speaking_so_slowly_that_other_people_could_have_noticed_or_the_opposite_being_so_fidgety_or_restless_that_you_have_been_moving_around_a_lot_more_than_usual,0.5725643126986347
feeling_down_depressed_or_hopeless,0.541614988997137
little_interest_or_pleasure_in_doing_things,0.5142196050440881
feeling_bad_about_yourself_or_that_you_are_a_failure_or_have_let_yourself_or_your_family_down,0.4618251557527855
feeling_tired_or_having_little_energy,0.44374015837408143
trouble_concentrating_on_things_such_as_reading_the_newspaper_or_watching_television,0.3396454087077223
age_z,0.31606468543458943
gender_Male,0.20605328414032828
